root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.327215 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17960:18188, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327268 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18224:18452, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327322 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18488:18716, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327372 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 18752:18980, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327423 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19016:19244, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327477 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19280:19508, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327531 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19544:19772, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327585 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 19808:20036, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327635 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20072:20300, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327688 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20336:20564, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327740 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20600:20828, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327788 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 20864:21092, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327840 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21128:21356, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327894 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21392:21620, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327943 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21656:21884, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.327996 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 21920:22148, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328051 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22184:22412, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328103 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22448:22676, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328154 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22712:22940, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328206 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 22976:23204, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328259 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23240:23468, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328309 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23504:23732, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328358 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 23768:23996, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
20:32:44.328411 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 24032:24260, ack 1, win 501, options [nop,nop,TS val 1836000273 ecr 488179854], length 228
